Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781154074,8,,Aggregated,4.700000,0.000000,15,25,60,130,940,1200,1800,2100,4300,4300,4300,127,0,15,233.24415748150594,6.987500004470348,4337.469300022349,567.3779527559055
1781154075,8,,Aggregated,4.800000,0.000000,15,25,60,130,930,1200,1800,2100,4300,4300,4300,132,0,15,228.88859621227974,6.987500004470348,4337.469300022349,606.5378787878788
1781154076,8,,Aggregated,4.800000,0.000000,15,22,60,80,930,1200,1800,2100,4300,4300,4300,137,0,15,220.96726642479697,6.987500004470348,4337.469300022349,600.6350364963504
1781154077,8,,Aggregated,4.800000,0.000000,15,25,60,130,930,1200,1800,2100,4300,4300,4300,142,0,15,226.99780070508214,6.987500004470348,4337.469300022349,588.8521126760563
1781154078,8,,Aggregated,4.700000,0.000000,15,25,60,80,930,1200,1800,2100,4300,4300,4300,146,0,15,221.302728768285,6.987500004470348,4337.469300022349,636.3904109589041
1781154079,8,,Aggregated,4.900000,0.000000,15,25,60,130,920,1200,1500,2100,4300,4300,4300,151,0,15,225.49780066331712,6.987500004470348,4337.469300022349,623.2781456953643
1781154080,8,,Aggregated,4.800000,0.000000,15,25,60,510,920,1200,1500,2100,4300,4300,4300,154,0,15,224.8764181828622,6.987500004470348,4337.469300022349,614.6558441558442
1781154081,8,,Aggregated,4.800000,0.000000,15,28,60,510,920,1200,1500,2100,4300,4300,4300,158,0,15,223.11173924068106,6.987500004470348,4337.469300022349,605.3607594936709
1781154082,8,,Aggregated,4.600000,0.000000,15,33,60,520,910,1100,1500,2100,4300,4300,4300,164,0,15,222.58600548886488,6.987500004470348,4337.469300022349,644.7560975609756
1781154083,8,,Aggregated,4.600000,0.000000,15,33,60,510,910,1100,1500,2100,4300,4300,4300,167,0,15,219.1859532940943,6.987500004470348,4337.469300022349,634.443113772455
1781154084,8,,Aggregated,4.500000,0.000000,15,33,60,520,860,1100,1500,2100,4300,4300,4300,173,0,15,218.5163664755363,6.987500004470348,4337.469300022349,629.543352601156
1781154085,8,,Aggregated,4.500000,0.000000,15,30,60,520,860,1100,1500,2100,4300,4300,4300,177,0,15,218.41360339145098,6.987500004470348,4337.469300022349,668.9039548022599
