Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781154122,20,,Aggregated,10.500000,0.000000,14,31,56,77,1200,2100,3200,4900,7500,7500,7500,272,0,13,317.3038275742917,6.659400067292154,7501.439600018784,1221.8455882352941
1781154123,20,,Aggregated,10.200000,0.000000,14,33,56,89,1400,2100,3200,4900,7500,7500,7500,283,0,14,328.47313109584576,6.659400067292154,7501.439600018784,1206.381625441696
1781154124,20,,Aggregated,10.400000,0.000000,13,30,55,74,1400,2100,3200,4900,7500,7500,7500,298,0,13,315.79133657732314,6.409299909137189,7501.439600018784,1197.9463087248323
1781154125,20,,Aggregated,10.600000,0.000000,13,30,54,72,1200,2100,3200,3500,7500,7500,7500,307,0,13,307.1429690559234,6.409299909137189,7501.439600018784,1232.7296416938111
1781154126,20,,Aggregated,10.600000,0.000000,13,30,54,72,1400,2100,3200,3500,7500,7500,7500,317,0,13,312.17314763477935,6.409299909137189,7501.439600018784,1221.044164037855
1781154127,20,,Aggregated,11.000000,0.000000,13,30,55,74,1500,2300,3200,3500,7500,7500,7500,328,0,13,326.82233475604403,6.409299909137189,7501.439600018784,1228.7560975609756
1781154128,20,,Aggregated,11.000000,0.000000,13,31,54,74,1400,2300,3200,3500,7500,7500,7500,341,0,13,325.02575102535314,6.409299909137189,7501.439600018784,1230.1290322580646
1781154129,20,,Aggregated,11.100000,0.000000,13,31,55,74,1400,2300,3000,3500,7500,7500,7500,354,0,13,316.2704217507462,6.409299909137189,7501.439600018784,1231.0282485875707
1781154130,20,,Aggregated,11.300000,0.000000,13,30,54,72,1400,2300,3000,3500,7500,7500,7500,360,0,13,311.3138080545468,6.409299909137189,7501.439600018784,1233.4916666666666
1781154131,20,,Aggregated,11.300000,0.000000,13,30,54,72,1400,2300,3000,3500,7500,7500,7500,372,0,13,319.06298870879215,6.409299909137189,7501.439600018784,1200.1048387096773
1781154132,20,,Aggregated,11.300000,0.000000,13,31,54,72,1400,2300,3000,3500,7500,7500,7500,383,0,13,316.85834908560065,6.409299909137189,7501.439600018784,1170.6605744125327
