Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,auth: login,52,0,2100.0,2246.2731923084134,793.4492999920622,7501.439600018784,405.0,1.1734726614724398,0.0,2100,2300,2700,2700,3200,4900,5400,7500,7500,7500,7500
GET,auth: qr generate,30,0,59,78.04125000645097,8.510200073942542,302.5354999117553,203.0,0.6770034585417921,0.0,61,72,87,98,200,210,300,300,300,300,300
GET,dashboard: health board,94,0,10,11.23380744730697,6.8536000326275826,44.865199946798384,75.0,2.1212775034309486,0.0,10,11,12,13,15,18,42,45,45,45,45
GET,dashboard: summary,47,0,9,10.583825528304628,6.827700068242848,34.0680000372231,75.0,1.0606387517154743,0.0,9,11,12,12,15,15,34,34,34,34,34
GET,dashboard: time series,27,0,11,13.290607396306264,7.4754999950528145,49.549999996088445,7081.0,0.609303112687613,0.0,11,11,13,14,19,45,50,50,50,50,50
POST,file: upload,88,0,9,18.694782949751243,6.409299909137189,60.811599949374795,62.0,1.9858768117225902,0.0,9,12,18,36,55,57,59,61,61,61,61
POST,form: questionnaire create,28,0,21,109.07533930315238,9.32830001693219,1236.4413000177592,248.71428571428572,0.631869894639006,0.0,24,29,52,52,60,1200,1200,1200,1200,1200,1200
GET,form: questionnaire list,45,0,50,139.66051555083445,22.322600008919835,1901.0733000468463,5937.333333333333,1.0155051878126882,0.0,50,94,110,130,170,390,1900,1900,1900,1900,1900
POST,form: survey submit,14,0,23,101.30435713965979,12.726300046779215,990.860200021416,255.0,0.315934947319503,0.0,24,25,42,74,100,990,990,990,990,990,990
,Aggregated,425,0,14,314.02809929321796,6.409299909137189,7501.439600018784,1204.8988235294119,9.590882329342055,0.0,14,32,55,72,1400,2300,3000,3300,7500,7500,7500
